build_ms,context,e2e_est_ms,eff_bits_per_dim,method,nominal_bits,pre_rot_ms,pre_sk_ms,score_cosine,score_ms,score_rmse,timing_family,top1_match_pct,top5_match_pct,total_ms
0.489,4096,0.083,8.125,turboquant,8,0.021,0.018,0.9998137950897217,0.045,0.0001513350143795833,steady_state_triton_score,100.0,100.0,0.572
0.439,4096,0.08,4.125,turboquant,4,0.018,0.018,0.9741241335868835,0.044,0.0018203194485977292,steady_state_triton_score,37.5,100.0,0.519
0.437,4096,0.081,3.125,turboquant,3,0.018,0.018,0.91861891746521,0.045,0.0033573743421584368,steady_state_triton_score,37.5,75.0,0.517
0.439,4096,0.081,2.125,turboquant,2,0.018,0.018,0.7940235733985901,0.045,0.005965142976492643,steady_state_triton_score,25.0,25.0,0.52
322.37,4096,0.132,8.125,rotorquant,8,0.041,0.019,0.9941713809967041,0.071,0.0008538109250366688,cold_build_triton_score,87.5,100.0,322.502
57.003,4096,0.134,4.125,rotorquant,4,0.042,0.019,0.9688795208930969,0.073,0.0019975409377366304,cold_build_triton_score,87.5,100.0,57.138
42.944,4096,0.131,3.125,rotorquant,3,0.042,0.019,0.9157117009162903,0.07,0.0034407898783683777,cold_build_triton_score,37.5,50.0,43.075
40.242,4096,0.148,2.125,rotorquant,2,0.043,0.021,0.7925096750259399,0.084,0.005980442278087139,cold_build_triton_score,25.0,50.0,40.391
0.162,4096,0.132,8.125,rotorquant,8,0.042,0.019,0.9941713809967041,0.071,0.0008538109250366688,steady_state_triton_score,87.5,100.0,0.294
0.163,4096,0.133,4.125,rotorquant,4,0.042,0.019,0.9688795208930969,0.071,0.0019975409377366304,steady_state_triton_score,87.5,100.0,0.296
0.161,4096,0.131,3.125,rotorquant,3,0.041,0.019,0.9157117009162903,0.07,0.0034407898783683777,steady_state_triton_score,37.5,50.0,0.292
0.162,4096,0.134,2.125,rotorquant,2,0.043,0.021,0.7925096750259399,0.07,0.005980442278087139,steady_state_triton_score,25.0,50.0,0.296
0.0,32768,,16.0,conventional,16,,,1.0,0.087,0.0,cold,100.0,100.0,0.087
0.156,32768,,8.0,conventional,8,,,0.9996691942214966,0.179,0.00020278693409636617,cold,100.0,100.0,0.334
0.156,32768,,4.0,conventional,4,,,0.9170163869857788,0.179,0.0034077658783644438,cold,37.5,50.0,0.335
0.156,32768,,3.0,conventional,3,,,0.8031468987464905,0.179,0.00788402184844017,cold,0.0,37.5,0.334
0.155,32768,,2.0,conventional,2,,,0.7993106842041016,0.179,0.02371230535209179,cold,0.0,50.0,0.334
284.562,32768,,8.125,turboquant,8,,,0.9998250007629395,1.029,0.00014616025146096945,cold,87.5,100.0,285.592
21.556,32768,,4.125,turboquant,4,,,0.9755710363388062,1.03,0.0017592408694326878,cold,50.0,87.5,22.586
6.624,32768,,3.125,turboquant,3,,,0.9230338931083679,1.025,0.0032507507130503654,cold,12.5,50.0,7.65
2.487,32768,,2.125,turboquant,2,,,0.8031930923461914,1.028,0.005724271759390831,cold,12.5,25.0,3.515
0.663,32768,,8.125,turboquant,8,,,0.9998250007629395,1.034,0.00014616025146096945,steady_state_cached_compile,87.5,100.0,1.697
